Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Macomb Lodge #1009 Benevolent and Protective Order of Elks,120810347,Macomb,2,367951.01,342568.44,25382.57,123362,97979.59,25382.41,7614.87,6345.7,1269.17
Macomb Post 1921 Veterans of Foreign Wars of the United States,140900556,Macomb,4,1123925.92,1024525.73,99400.19,228450,129049.81,99400.19,29820.6,24850.51,4970.09
MACON COUNTY CHAPTER #17 DISABLED AMERICAN VETERANS,140700066,Macon County,5,3607851.15,3350280.56,257570.59,1357480,1099905.65,257574.35,77273.01,64394.2,12878.81
MACON PETROLEUM INC.,141002666,Macon,5,6342968.39,5817195.49,525772.9,1959174,1433488.76,525685.24,157706.04,131421.73,26284.31
"Mad Dog Cleaning, LLC",160703220,Tazewell County,5,3399394.98,3118360.51,281034.47,1033503,752469,281034,84310.63,70258.87,14051.76
Mad Jacks Inc.,120711575,Kilbourne,5,1114313.52,1016747.44,97566.08,361977,264411.62,97565.38,29270.32,24391.98,4878.34
"MAD, INCORPORATED",120705286,Stockton,5,2364368.72,2170648.43,193720.29,595711,401990.58,193720.42,58116.96,48430.79,9686.17
"Maddie's Place, Inc.",130704566,Leland,5,1835659.97,1672216.53,163443.44,603493,439987.67,163505.33,49052.12,40876.75,8175.37
Madison County Firemens Association,130705126,Collinsville,5,2466767.57,2264077.8,202689.77,811354,608664.08,202689.92,60807.28,50672.74,10134.54
"Madisons Pub And Grill, Inc.",150702074,Willowbrook,5,2420087.53,2221059.03,199028.5,814175,615135.05,199039.95,59712.46,49760.4,9952.06
"Madori's Liquor & Deli, Inc.",170701405,Midlothian,5,1233795.05,1135827.85,97967.2,419684,321716.8,97967.2,29390.47,24492.09,4898.38
"Maedge's Mini Mart, LLC",120700552,Alhambra,3,795775.59,730249.89,65525.7,247133,181607.3,65525.7,19658.01,16381.68,3276.33
MAG AMUSEMENTS CORPORATION,130702454,Hamilton,4,2433098.11,2238222.08,194876.03,739636,544759.99,194876.01,58463.25,48719.39,9743.86
Maggie's Idle Hour LLC,120712856,Mount Morris,5,2582726.9,2367797.62,214929.28,882577,667647.56,214929.44,64479.55,53732.99,10746.56
Magoo's Bar LLC,140703006,Bedford Park,5,5702517.62,5232619.28,469898.34,1946377,1476468.98,469908.02,140972.9,117477.43,23495.47
MAHAN'S WILD SIDE LLC,120711237,Morgan County,4,1341114.8,1236953.87,104160.93,464363,360202.22,104160.78,31248.93,26040.8,5208.13
MAHEDI LLC,170703203,Madison County,5,451710.14,415772.6,35937.54,146732,110774.46,35957.54,10787.67,8989.74,1797.93
"MAHOMET FUEL & MART, INC.",170701481,Champaign County,5,1748816.67,1617456.67,131360,558180,426819.79,131360.21,39408.58,32840.51,6568.07
"Mahoney's Pub, Inc.",120711227,Villa Park,4,4124059.66,3839299.54,284760.12,1236417,951656.88,284760.12,85428.55,71190.47,14238.08
MAI QUESI INC.,180702423,Aurora,3,471717.13,428375.95,43341.18,118962,75620.5,43341.5,13002.5,10835.43,2167.07
"MAIN OAK CAFE, L.L.C.",150702371,Decatur,4,1272547.42,1188651.46,83895.96,425696,341800.08,83895.92,25169.26,20974.43,4194.83
MAIN ST DINER INC.,160700409,Park Forest,5,2714002.93,2493801.6,220201.33,989932,769730.67,220201.33,66060.92,55050.77,11010.15
Main Street Exchange Pizza Bar & Grill Inc.,130703867,Crete,5,2075519.58,1899821.08,175698.5,664058,488359.5,175698.5,52710.1,43925.1,8785
"MAIN STREET ORGANICS, LLC",160700194,Ottawa,5,3250753.51,3026926.18,223827.33,979485,755657.67,223827.33,67148.75,55957.3,11191.45
"Main Street Pub & Grill, Inc.",170700232,Sandwich,5,1346862.77,1215945.18,130917.59,430335,299417.41,130917.59,39275.68,32729.75,6545.93
"Main Street Station, Inc.",120706555,Mendota,3,605082.43,552733.05,52349.38,172367,120017.39,52349.61,15705.34,13087.79,2617.55
"Main Street Video Gaming, Inc.",160701077,Decatur,5,6061799.67,5574491.47,487308.2,2039869,1552560.8,487308.2,146193.22,121827.71,24365.51
"MAINSTREET BAR & GRILL, INC.",120709304,Beckemeyer,5,2402686.37,2207057.62,195628.75,792320,596691.15,195628.85,58689.28,48907.76,9781.52
Mainstreet Gaming Inc.,160700971,Athens,5,1943112.85,1778440.76,164672.09,579156,414483.93,164672.07,49402.8,41169.01,8233.79
Majestic Pines LLC,170703894,Carroll County,3,118158.39,108323.24,9835.15,43109,33273.85,9835.15,2950.6,2458.83,491.77
"Majesty Investments, LLC",160701258,Crystal Lake,3,2109212.64,1935566.86,173645.78,716571,542925.42,173645.58,52093.91,43411.6,8682.31
MAJOR LEAGUES L.L.C.,120710719,Taylorville,4,1047259.18,958231.07,89028.11,337049,248020.97,89028.03,26708.96,22257.48,4451.48
"MAJOR'S PUB & GRILL, INC.",150703797,Norridge,4,2531693.38,2310843.34,220850.04,742711,521861.17,220849.83,66255.57,55212.99,11042.58
"Mala Enterprises, LLC",180700798,Sandwich,5,383194.33,344518.67,38675.66,127952,89276.29,38675.71,11602.94,9669.13,1933.81
MALA LLC,170700158,Decatur,5,5753535.82,5310060.2,443475.62,1889224,1445735.94,443488.06,133046.86,110872.4,22174.46
MALA LLC,130705805,Decatur,5,9191409.2,8559576.22,631832.98,3012741,2380841.12,631899.88,189570.38,157975.32,31595.06
MALA LLC,150702070,Decatur,5,7020043.67,6464620.74,555422.93,2319413,1763990.11,555422.89,166627.43,138856.21,27771.22
MALA LLC,160702804,Urbana,5,7997322.22,7402989.62,594332.6,2626668,2032335.4,594332.6,178300.31,148583.61,29716.7
"Malnar's Tap & Restaurant, Inc.",120704328,Joliet,5,1522756.23,1402261.62,120494.61,381949,261453.85,120495.15,36149.1,30124.26,6024.84
MAM L.L.C.,150700499,Richton Park,3,445071.11,410029.24,35041.87,164749,129707.13,35041.87,10512.8,8760.68,1752.12
"Mama and Me Pizzeria, Inc.",120711087,Homewood,5,2205750.59,2024575.64,181174.95,688893,507718.05,181174.95,54353.08,45294.24,9058.84
Mama Deans LLC,170701428,Bartonville,5,2567185.6,2364646.25,202539.35,832863,630323.65,202539.35,60762.21,50635.18,10127.03
"Mama Kazzs, Inc.",120701421,Berwyn,5,631534.02,572211.77,59322.25,206682,147359.75,59322.25,17797.12,14830.97,2966.15
"Mama Lee's Sandbar, Inc",120707734,Sangamon County,5,2162687.18,1987909.22,174777.96,713299,538520.94,174778.06,52434.28,43695.24,8739.04
Mama Luigi's Inc.,120701282,Bridgeview,5,2343278.89,2147046.9,196231.99,833278,637046.01,196231.99,58870.11,49058.43,9811.68
"Mamas 4 Star Family Restaurant, Inc.",160701218,Peru,5,2708973.01,2505408.33,203564.68,929256,725691.26,203564.74,61070.36,50891.95,10178.41
Mamta Liquor Inc.,170701279,Herscher,4,667350.66,615338.78,52011.88,264961,212949.02,52011.98,15603.87,13003.23,2600.64
MandD Inc.,120700510,Highland,5,929418.01,850636.08,78781.93,277560,198777.67,78782.33,23635.12,19695.97,3939.15
"Mandy Enterprises, Inc.",120701227,Mokena,5,3709577.16,3428374,281203.16,1199167,917963.84,281203.16,84361.55,70301.33,14060.22
Mandy Thompsen,170702535,St. Anne,3,876739.03,795762.37,80976.66,259894,178855.48,81038.52,24311.7,20259.76,4051.94
"Maness Enterprises, Inc.",160700954,Elmwood,3,737443.35,672140.19,65303.16,244744,179440.84,65303.16,19591.31,16326.08,3265.23
"MANFRED'S BIERSTUBE, INC.",120708030,Wood Dale,5,3748292.44,3425373.07,322919.37,1189404,866484.62,322919.38,96876.57,80730.5,16146.07
"MANGIA & BEVA, INC.",140703104,Wilmington (Will),5,1863787.97,1713278.5,150509.47,488278,337768.53,150509.47,45153.41,37627.88,7525.53
"Mangia Mangia, Inc.",140704054,Countryside,4,1469805.23,1341714.67,128090.56,497261,369170.44,128090.56,38427.62,32023.03,6404.59
"MANGY DAWG, LLC",120711869,Hanover Park,5,6187906.5,5635856.06,552050.44,1849131,1297080.56,552050.44,165615.9,138013.25,27602.65
"Manito Tap, Inc.",120711025,Manito,5,2227642.61,2065552.5,162090.11,691138,529047.71,162090.29,48627.78,40523.18,8104.6
"Manlar Investment Group, Inc.",180700362,South Beloit,5,389093.69,353986.95,35106.74,134893,99786.26,35106.74,10532.11,8776.76,1755.35
"MANN'S BRIDGE-PORT INN, INC.",130704555,Lake County,5,2679901.86,2455849.36,224052.5,850457,626404.37,224052.63,67216.47,56013.76,11202.71
"MANNY'S CANTINA, INC.",130706154,Sterling,4,1066678.14,981475.99,85202.15,334723,249520.85,85202.15,25561.02,21300.86,4260.16
"Manny's Four, Inc.",120710778,Freeport,3,1454497.96,1347243.66,107254.3,449308,342053.52,107254.48,32176.64,26813.86,5362.78
Manny's Inc.,120700601,Savanna,5,2651025.57,2425742.03,225283.54,763865,538581.71,225283.29,67585.63,56321.38,11264.25
MANTENO AMERICAN LEGION POST NO. 755,120902941,Manteno,5,2692812.64,2464292.39,228520.25,884797,656277,228520,68556.62,57130.52,11426.1
"MANTENO GARDENS, INC.",160702914,Manteno,4,856705.46,793132.67,63572.79,252497,188924.21,63572.79,19072.19,15893.52,3178.67
Manteno Sportsmen's Club,120710042,Manteno,4,2475118.83,2278703.49,196415.34,772959,576543.54,196415.46,58925.04,49104.2,9820.84
MANUSH INC.,120709565,Dixon,5,2552195.02,2320743.85,231451.17,900261,668809.93,231451.07,69436.09,57863.41,11572.68
"Manzella's Italian Restaurant, Inc.",170700549,Champaign,3,72433.52,61767.39,10666.13,29567,18900.97,10666.03,3199.93,2666.61,533.32
"Maple Lanes Bowling Alley, LLC",170702377,Roanoke,3,226136.71,210828.15,15308.56,76053,60744.44,15308.56,4592.81,3827.36,765.45
"Maquet, Inc.",130705483,Pekin,4,1368330.01,1260135.06,108194.95,517863,409668.16,108194.84,32459.02,27049.18,5409.84
"MAR PAUL ENTERPRISES, INC.",120711771,Woodstock,5,2483690.66,2261944.41,221746.25,826635,604888.75,221746.25,66524.37,55436.98,11087.39
"Mar Y Tierra Restaurant, Inc.",150700639,Melrose Park,2,170217.28,155495.06,14722.22,55713,40990.78,14722.22,4416.89,3680.74,736.15
MAR-KNAP INC.,130703191,Seneca,5,1726087.47,1580890.79,145196.68,507375,362178.19,145196.81,43559.83,36299.86,7259.97
"Mardi Gras Lanes, Inc.",120702298,DeKalb,5,2888559.69,2685177.13,203382.56,855243,651860.44,203382.56,61015.46,50846.24,10169.22
"Marengo Ridge Golf and Country Club, Inc.",140701294,McHenry County,3,234872.88,214405.63,20467.25,79116,58648.8,20467.2,6140.45,5117.03,1023.42
MARGARITA'S MEXICAN BAR & GRILL INC.,160703637,Roselle,5,3218174.61,2945702.19,272472.42,989116,716643.58,272472.42,81742.43,68118.72,13623.71
"Margaritas Mexican Restaurant, Inc.",130703488,Belleville,5,1643510.87,1513349.19,130161.68,582763,452601.32,130161.68,39049.02,32540.86,6508.16
"MARGO TWO, INC.",120701318,Forest View,5,1316499.68,1201799.66,114700.02,445522,330821.98,114700.02,34410.54,28675.45,5735.09
"Maria & Vikki, Inc.",120710848,Hampshire,4,1749298.03,1595482.44,153815.59,500203,346387.41,153815.59,46145.2,38454.38,7690.82
Maria Rodriguez,150700487,Whiteside County,3,615961.35,556036.99,59924.36,191230,131305.44,59924.56,17977.78,14981.51,2996.27
Maria's Hot Slots LLC,150701865,Wenona,5,925931.22,858376.62,67554.6,336000,268445.4,67554.6,20266.94,16889.13,3377.81
Maria's Pizza of Amboy Inc.,140700730,Amboy,3,442080.31,408618.76,33461.55,143151,109689.45,33461.55,10038.8,8365.69,1673.11
"Maria's Pizza Restaurant, Inc.",130702603,Morris,4,700741.91,652288.73,48453.18,266227,217774.17,48452.83,14536.42,12113.72,2422.7
Mariachi's Inc.,160700222,Belleville,3,453205.93,427988.65,25217.28,151678,126460.7,25217.3,7565.58,6304.66,1260.92
Mariachi's Inc.,160700228,Millstadt,2,535950.35,491388.94,44561.41,189032,144469.59,44562.41,13368.91,11140.78,2228.13
Marigold Lane LLC,170701027,Mason County,2,88313.78,83330.11,4983.67,34245,29256.37,4988.63,1496.7,1247.27,249.43
Marilyn Shannon,130706607,Tilden,5,3496881.96,3255003.86,241878.1,1369086,1127207.9,241878.1,72564.02,60470.04,12093.98
"Marilyn's Downtown Lounge, Inc.",120704496,Centralia,5,2736028,2522960.76,213067.24,686488,473420.76,213067.24,63920.67,53267.24,10653.43
"Marion B. Fletcher Post #136, American Legion",120904784,Monmouth,3,713190.69,649385.55,63805.14,201995,138189.86,63805.14,19141.85,15951.56,3190.29
"MARISCOS EL CHARCO, INC.",170703500,Elgin,5,419001.57,375620.17,43381.4,136079,92697.39,43381.61,13014.82,10845.69,2169.13
MARISCOS EL OCEANO INC.,140702079,Cicero,3,566680.46,516892.51,49787.95,165284,115495.98,49788.02,14936.52,12447.1,2489.42
Marissa Recreational Area Association,180700203,St. Clair County,2,42953.18,38530.81,4422.37,14362,9939.63,4422.37,1326.75,1105.62,221.13
"Marjon, LTD.",130703241,Burbank,5,3058422.17,2811798.62,246623.55,910071,663447.45,246623.55,73987.62,61656.38,12331.24
Mark Faulkner,160701666,Williamson County,1,24821.93,22001.28,2820.65,9761,6940.35,2820.65,846.23,705.18,141.05
Mark Schauf,140702109,Bridgeport,4,437354.44,401647.54,35706.9,129006,93299,35707,10712.41,8927.02,1785.39
Mark Thompson,130702362,DeKalb,5,2856901.69,2625696.68,231205.01,917351,686146.41,231204.59,69361.85,57801.53,11560.32
MARK VII HOSPITALITY LIMITED,170702225,St. Charles,5,3531712.13,3283751.87,247960.26,1021826,773865.69,247960.31,74388.6,61990.49,12398.11
"Mark W Stocking, LLC",140702923,Buda,3,117956.08,108671.24,9284.84,34042,24757.19,9284.81,2785.52,2321.27,464.25
"Mark W Stocking, LLC",140702919,Wyanet,5,1987728.77,1832631.75,155097.02,578782,423684.98,155097.02,46529.87,38774.91,7754.96
Mark W. Livermore and Linda K. Livermore,120708982,Quincy,2,658357.4,608647.63,49709.77,151582,101872.23,49709.77,14913.14,12427.65,2485.49
"Markella's 1, Inc.",140701785,Oak Forest,5,2314465.69,2152855.8,161609.89,669824,508214.22,161609.78,48483.55,40402.97,8080.58
"Market Square Restaurant, Inc.",130700123,Wheeling,5,6992517.81,6467789.61,524728.2,2379671,1854942.8,524728.2,157418.92,131182.46,26236.46
"MARKHAM MEMORIAL POST #9801, VETERANS OF FOREIGN WARS.",130900402,Markham,5,2147452.95,1981684.16,165768.79,608417,442648.21,165768.79,49731.16,41442.66,8288.5
"MARKHAM MINI MART, INC.",170704286,Markham,5,2181525.46,2002991.03,178534.43,785728,607193.57,178534.43,53560.61,44633.84,8926.77
"Marks Brothers Enterprises, Inc.",120700195,Gardner,4,1386441.28,1278147.4,108293.88,412210,303916.12,108293.88,32488.52,27073.78,5414.74
Marlins On Pershing Inc.,120708328,Lyons,5,5482893.24,4993536.58,489356.66,1556250,1066893.34,489356.66,146807.82,122339.86,24467.96
"Marlow's Authentic, LLC",180701300,Herrin,2,7290.48,6067.26,1223.22,3269,2045.78,1223.22,366.98,305.82,61.16
Marlowe's Hometown Diner LLC,170702935,Pekin,5,356365.61,328457.48,27908.13,106767,78858.87,27908.13,8372.68,6977.23,1395.45
"Marne Post No.13, The American Legion",120902157,Will County,5,5977006.65,5457229.27,519777.38,1823948,1304170.62,519777.38,155933.77,129944.84,25988.93
"Maroa Pub, Inc.",130703379,Maroa,5,2763419.8,2529452.64,233967.16,908031,674063.82,233967.18,70190.89,58492.42,11698.47
Marplayaa Inc.,150702443,Bloomington,3,746154.38,685638.16,60516.22,255813,195296.78,60516.22,18155.21,15129.31,3025.9
Marrs Meyer American Legion Post 991,120902069,Worth,5,3553673.34,3261021.23,292652.11,1077214,784561.76,292652.24,87796.35,73163.65,14632.7
"Marsala's Pizza, Inc.",130706322,Darien,5,4578380.68,4174370.98,404009.7,1454384,1050374.48,404009.52,121203.71,101003.1,20200.61
Marseilles Lions Club Building Corporation,130705327,Marseilles,3,519347.99,477148.28,42199.71,174571,132371.29,42199.71,12660.3,10550.24,2110.06
MARSHALL'S TAP INCORPORATED,160701872,Bartonville,5,2714226.83,2496237.09,217989.74,857738,639748.12,217989.88,65397.56,54497.98,10899.58
"MARTAM INVESTMENTS, LLC",170703231,Hampton,5,463523.19,426690.87,36832.32,134720,97887.43,36832.57,11050.21,9208.53,1841.68
"Martens Creative Landscaping, Inc.",120708476,Summit,5,2971931.01,2745263.05,226667.96,865149,638481.04,226667.96,68000.72,56667.29,11333.43
Marthaler Holdings LLC,130703226,Chicago Heights,5,3342107.93,3105136.86,236971.07,1136154,899182.93,236971.07,71091.79,59243.18,11848.61
"Martin & Bayley, Inc.",150702958,Metropolis,5,5797403.86,5353805.45,443598.41,1418227,974628.59,443598.41,133080.01,110900,22180.01
"Martin & Bayley, Inc.",131003834,Bloomington,5,11674461.53,10791206.6,883254.93,3540085,2656826.22,883258.78,264978.44,220815.37,44163.07
"Martin & Bayley, Inc.",131000451,Farmer City,5,7763848.81,7212158.62,551690.19,2330079,1778363.18,551715.82,165515.16,137929.34,27585.82
"Martin & Bayley, Inc.",131003829,Eldorado,5,10962744.43,10184177.78,778566.65,2709330,1930515.59,778814.41,233644.82,194704.05,38940.77
"Martin & Bayley, Inc.",131002909,Heyworth,5,4512927.75,4152625.01,360302.74,1362966,1002601.49,360364.51,108109.88,90091.61,18018.27
"Martin & Bayley, Inc.",131000457,Jefferson County,0,-12248153.87,-11410806.38,-837347.49,-3642747,-2805255.14,-837491.86,-251247.85,-209373.24,-41874.61
"Martin & Bayley, Inc.",121010325,Mount Vernon,5,14032952.03,12963345.75,1069606.28,3743906,2674309.06,1069596.94,320879.85,267399.91,53479.94
"Martin & Bayley, Inc.",170703315,Mount Vernon,5,1280568.92,1188732.12,91836.8,408606,316768.99,91837.01,27551.38,22959.49,4591.89
"Martin & Bayley, Inc.",140702504,Harrisburg,5,3648812.16,3363826.97,284985.19,860965,575979.61,284985.39,85496.08,71246.75,14249.33
"Martin & Bayley, Inc.",140701581,Christopher,5,4234086.4,3893727.98,340358.42,1190300,849941.3,340358.7,102108.18,85090.19,17017.99
"Martin & Bayley, Inc.",160704133,West Frankfort,5,6603672.42,6062137.31,541535.11,1848117,1306581.95,541535.05,162461.28,135384.42,27076.86
"Martin & Bayley, Inc.",170700887,Harrisburg,5,1945690.2,1779435.31,166254.89,502107,335852.11,166254.89,49877.17,41564.33,8312.84
"Martin & Bayley, Inc.",170700996,Steeleville,5,2814110.94,2619238.55,194872.39,908537,713664.61,194872.39,58462.08,48718.41,9743.67
"Martin & Bayley, Inc.",170701577,Swansea,5,4925407.65,4547045.61,378362.04,1530532,1152169.96,378362.04,113509.07,94590.9,18918.17
"Martin & Bayley, Inc.",131003838,Carbondale,5,255348.66,239249.56,16099.1,65891,49791.19,16099.81,4829.98,4024.99,804.99
"Martin & Bayley, Inc.",131000457,Mount Vernon,5,24008199.43,22279378.78,1728820.65,7145605,5417184.66,1728420.34,518526.98,432105.86,86421.12
"Martin & Bayley, Inc.",171000341,Carterville,5,3680225.9,3384956.93,295268.97,1133722,838452.97,295269.03,88581.2,73817.69,14763.51
"Martin & Bayley, Inc.",141001343,Salem,5,10206430.16,9457610.37,748819.79,2861325,2112447.41,748877.59,224663.74,187219.82,37443.92
"Martin & Bayley, Inc.",140703992,Dupo,5,5059243.45,4690480.87,368762.58,1365625,996862.42,368762.58,110629.07,92190.91,18438.16
"Martin & Bayley, Inc.",140701583,Caseyville,5,7332229.65,6781654.17,550575.48,2264804,1714227.57,550576.43,165173.57,137644.66,27528.91
"Martin & Bayley, Inc.",140701943,Herrin,5,4860219.41,4496462.83,363756.58,1419036,1055279.56,363756.44,109127.46,90939.56,18187.9
"Martin & Bayley, Inc.",170702593,Carmi,5,1684431.91,1556487.1,127944.81,442755,314810.19,127944.81,38383.81,31986.54,6397.27
"Martin & Bayley, Inc.",161002208,Marion,5,8123585.46,7445465.76,678119.7,2311342,1633252.16,678089.84,203427.52,169522.95,33904.57
"Martin & Bayley, Inc.",170701576,Grayville,5,2756303.54,2543833.66,212469.88,700837,488367.12,212469.88,63741.21,53117.71,10623.5
Martin I.G.A. & Frozen Food Center Inc.,141001267,Effingham,5,7344911.93,6829099.53,515812.4,2078828,1563015.6,515812.4,154744.08,128953.43,25790.65
MARTIN-COURTNEY POST#4835 VETERANS OF FOREIGN WARS OF THE US,120906371,Creve Coeur,3,377362.79,344789.8,32572.99,132354,99781.01,32572.99,9772.33,8143.63,1628.7
Martinsville Fuel & Food Inc.,131002364,Martinsville,5,6037192.24,5582427.52,454764.72,1667606,1212762.31,454843.69,136453.64,113711.39,22742.25
MARTY GOLLNITZ POST 4999 VETERANS OF FOREIGN WARS,120906744,Chillicothe,5,2249758.61,2087678.58,162080.03,696177,534097.07,162079.93,48624.48,40520.41,8104.07
"MARTY GRAS SLOTS, LLC",140702169,Loves Park,5,8533132.3,7924259.38,608872.92,2426687,1817525.06,609161.94,182749.31,152291.09,30458.22
MARTY J DAVIDSON,130701653,Alsey,4,296676.26,272382.93,24293.33,91396,67102.67,24293.33,7288.15,6073.47,1214.68
Marvel Inc.,150704276,River Grove,5,5337805.93,4924634.31,413171.62,1508510,1095338.38,413171.62,123951.91,103293.29,20658.62
MARVIN WAYNE PERINO,120700164,Coal City,4,1584765.09,1444754.04,140011.05,501461,361450.2,140010.8,42003.67,35003.07,7000.6
"Marwood of Illinois, Inc.",130703005,Orion,3,404007.81,366571.39,37436.42,106151,68714.58,37436.42,11231,9359.18,1871.82
